bus_id,bus,route,stop_no,stop,up_time change,down_time change
bussathi-raja-613,RAJA WB41B9711,Chittaranjan -> Bankura,10,Bankura,up: 9:25 AM -> -,down: 12:50 PM -> 12:50 PM
bussathi-rajdhani-620,RAJDHANI WB17N3738,Bankura -> Kolkata (Esplanade),16,Dankuni,up: 3:25 PM -> -,down: - -> 3:25 PM
bussathi-rajdhani-620,RAJDHANI WB17N3738,Bankura -> Kolkata (Esplanade),19,Dunlop,up: 3:05 PM -> -,down: - -> 3:05 PM
bussathi-rajdhani-620,RAJDHANI WB17N3738,Bankura -> Kolkata (Esplanade),20,Shyambazar,up: 2:30 PM -> -,down: - -> 2:30 PM
bussathi-rajdhani-620,RAJDHANI WB17N3738,Bankura -> Kolkata (Esplanade),21,Kolkata (Esplanade),up: 9:30 AM -> -,down: 2:20 PM -> 2:20 PM
bussathi-rajdhani-express-621,RAJDHANI EXPRESS WB49N2499,Karunamoyee -> Ramjibanpur,14,Khukur Daha,up: 4:15 PM -> -,down: - -> 4:15 PM
bussathi-rajdhani-express-621,RAJDHANI EXPRESS WB49N2499,Karunamoyee -> Ramjibanpur,15,Goura,up: 4:00 PM -> -,down: - -> 4:00 PM
bussathi-rajdhani-express-621,RAJDHANI EXPRESS WB49N2499,Karunamoyee -> Ramjibanpur,16,Sultannagar,up: 3:55 PM -> -,down: - -> 3:55 PM
bussathi-rajdhani-express-621,RAJDHANI EXPRESS WB49N2499,Karunamoyee -> Ramjibanpur,17,Daspur,up: 3:45 PM -> -,down: - -> 3:45 PM
bussathi-rajdhani-express-621,RAJDHANI EXPRESS WB49N2499,Karunamoyee -> Ramjibanpur,18,Ghatal,up: 10:55 AM -> -,down: 3:20 PM -> 3:20 PM
bussathi-rajdhani-express-621,RAJDHANI EXPRESS WB49N2499,Karunamoyee -> Ramjibanpur,19,Baroda Chowkan,up: 11:10 AM -> -,down: 3:10 PM -> 3:10 PM
bussathi-rajdhani-express-621,RAJDHANI EXPRESS WB49N2499,Karunamoyee -> Ramjibanpur,20,Radhanagar,up: 11:15 AM -> -,down: 3:05 PM -> 3:05 PM
bussathi-rajdhani-express-621,RAJDHANI EXPRESS WB49N2499,Karunamoyee -> Ramjibanpur,21,Khirpai,up: 11:40 AM -> -,down: 2:50 PM -> 2:50 PM
bussathi-rajdhani-express-621,RAJDHANI EXPRESS WB49N2499,Karunamoyee -> Ramjibanpur,22,Ramjibanpur,up: 12:10 PM -> -,down: 2:20 PM -> 2:20 PM
bussathi-rof-rof-646,ROF ROF WB33K5234,Bishnupur -> Haldia,18,Haldia,up: 12:25 PM -> -,down: 2:00 PM -> 2:00 PM
bussathi-rubina-654,RUBINA WB511234,Mayapur -> Bardhaman,10,Bardhaman,up: 12:00 PM -> -,down: - -> 12:00 PM
bussathi-rudrani-0,RUDRANI WB33D3454,Purulia -> Digha,17,Belda,up: 9:55 AM -> -,down: - -> 9:55 AM
bussathi-saklin-674,SAKLIN WB15C3349,Tarkeshwar -> Ramgarh,11,Goaltore,up: 4:10 PM -> -,down: - -> 4:10 PM
bussathi-saklin-674,SAKLIN WB15C3349,Tarkeshwar -> Ramgarh,12,Ramgarh,up: 1:35 PM -> -,down: 3:35 PM -> 3:35 PM
bussathi-sany-687,SANY WB29B9748,Egra -> Karunamoyee,17,Santragachi,up: 2:15 PM -> -,down: - -> 2:15 PM
bussathi-sany-687,SANY WB29B9748,Egra -> Karunamoyee,18,Kolkata (Esplanade),up: 1:50 PM -> -,down: - -> 1:50 PM
bussathi-sany-687,SANY WB29B9748,Egra -> Karunamoyee,20,Karunamoyee,up: 9:30 AM -> -,down: 12:40 PM -> 12:40 PM
bussathi-satellite-697,SATELLITE WB67B1577,Sarenga -> Asansol,15,Raniganj,up: 2:40 PM -> -,down: - -> 2:40 PM
bussathi-satellite-697,SATELLITE WB67B1577,Sarenga -> Asansol,16,Asansol,up: 12:10 PM -> -,down: 2:05 PM -> 2:05 PM
bussathi-shibam-716,SHIBAM WB67A6013,Bhutsahar -> Bankura,6,Bangla,up: 2:55 PM -> -,down: - -> 2:55 PM
bussathi-shibam-716,SHIBAM WB67A6013,Bhutsahar -> Bankura,9,Puabagan,up: 11:25 AM -> -,down: 2:20 PM -> 2:20 PM
bussathi-shibam-716,SHIBAM WB67A6013,Bhutsahar -> Bankura,10,Dhaldanga,up: 11:30 AM -> -,down: 2:15 PM -> 2:15 PM
bussathi-shibam-716,SHIBAM WB67A6013,Bhutsahar -> Bankura,11,Bankura,up: 11:50 AM -> -,down: 1:55 PM -> 1:55 PM
bussathi-shiv-shakti-2,SHIV SHAKTI WB496777,Baksi -> Kultikri,8,Ragra,up: 3:30 PM -> -,down: - -> 3:30 PM
bussathi-shiv-shakti-2,SHIV SHAKTI WB496777,Baksi -> Kultikri,9,Rohini,up: 11:50 AM -> -,down: 3:25 PM -> 3:25 PM
bussathi-shiv-shakti-2,SHIV SHAKTI WB496777,Baksi -> Kultikri,10,Kultikri,up: 12:15 PM -> -,down: 3:00 PM -> 3:00 PM
bussathi-shradhanjali-727,SHRADHANJALI WB33F2197,Medinipur -> Khatra,10,Simlapal,up: 3:05 PM -> -,down: - -> 3:05 PM
bussathi-shradhanjali-727,SHRADHANJALI WB33F2197,Medinipur -> Khatra,11,Taldangra,up: 9:30 AM -> -,down: 2:50 PM -> 2:50 PM
bussathi-shradhanjali-727,SHRADHANJALI WB33F2197,Medinipur -> Khatra,12,Bibarda,up: 10:00 AM -> -,down: 2:30 PM -> 2:30 PM
bussathi-shradhanjali-727,SHRADHANJALI WB33F2197,Medinipur -> Khatra,13,Harmasra,up: 10:10 AM -> -,down: 2:15 PM -> 2:15 PM
bussathi-shradhanjali-727,SHRADHANJALI WB33F2197,Medinipur -> Khatra,15,Khatra,up: 11:15 AM -> -,down: 1:15 PM -> 1:15 PM
bussathi-shyamali-740,SHYAMALI WB41B6525,Durgapur (Station) -> Suri,2,Durgapur (Muchipara),up: 4:30 PM -> -,down: - -> 4:30 PM
bussathi-sonai-751,SONAI WB471781,Bolpur -> Benachity,6,Durgapur (City Center),up: 2:15 PM -> -,down: 4:45 PM -> 4:45 PM
