mode	source	origin	destination	operator	bus_type	dep	arr	target_id
ADD	durgapurhub.com	Durgapur	Esplanade	Greenline	Private - AC Volvo	11:30 AM	3:30 PM	
ADD	durgapurhub.com	Durgapur	Karunamoyee	Greenline	Private - AC Volvo	12:00 PM	3:50 PM	
ADD	durgapurhub.com	Durgapur	Karunamoyee	Shyamoli Paribahan	Private - AC Volvo	12:30 PM	4:30 PM	
ADD	durgapurhub.com	Durgapur	Esplanade	Shyamoli Paribahan	Private - AC Volvo	12:55 PM	4:45 PM	
ADD	durgapurhub.com	Durgapur	Karunamoyee	Greenline	Private - AC Volvo	1:10 PM	5:10 PM	
ADD	durgapurhub.com	Durgapur	Karunamoyee	Shyamoli Paribahan	Private - AC Volvo	1:45 PM	5:45 PM	
ADD	durgapurhub.com	Durgapur	Esplanade	Shyamoli Paribahan	Private - AC Volvo	2:10 PM	6:00 PM	
ADD	durgapurhub.com	Durgapur	Karunamoyee	Express Line	Private - AC Volvo	2:20 PM	6:10 PM	
ADD	durgapurhub.com	Durgapur	Karunamoyee	Greenline	Private - AC Volvo	2:35 PM	6:35 PM	
ADD	durgapurhub.com	Durgapur	Esplanade	Greenline	Private - AC Volvo	2:50 PM	6:50 PM	
ADD	durgapurhub.com	Durgapur	Esplanade	Express Line	Private - AC Volvo	3:10 PM	7:00 PM	
ADD	durgapurhub.com	Durgapur	Esplanade	Shyamoli Paribahan	Private - AC Volvo	3:30 PM	7:20 PM	
ADD	durgapurhub.com	Durgapur	Karunamoyee	Greenline	Private - AC Volvo	3:30 PM	7:30 PM	
ADD	durgapurhub.com	Durgapur	Karunamoyee	Shyamoli Paribahan	Private - AC Volvo	4:00 PM	8:00 PM	
ADD	durgapurhub.com	Durgapur	Esplanade	Greenline	Private - AC Volvo	4:00 PM	7:50 PM	
ADD	durgapurhub.com	Durgapur	Karunamoyee	Express Line	Private - AC Volvo	4:20 PM	8:25 PM	
ADD	durgapurhub.com	Durgapur	Esplanade	Shyamoli Paribahan	Private - AC Volvo	4:30 PM	8:30 PM	
ADD	durgapurhub.com	Durgapur	Karunamoyee	Shyamoli Paribahan	Private - AC Volvo	4:45 PM	8:45 PM	
ADD	durgapurhub.com	Durgapur	Esplanade	Greenline	Private - AC Volvo	5:10 PM	9:00 PM	
ADD	durgapurhub.com	Durgapur	Karunamoyee	Greenline	Private - AC Volvo	5:30 PM	9:20 PM	
ADD	durgapurhub.com	Durgapur	Karunamoyee	Shyamoli Paribahan	Private - AC Volvo	5:50 PM	9:35 PM	
ADD	durgapurhub.com	Durgapur	Esplanade	Shyamoli Paribahan	Private - AC Volvo	6:15 PM	10:00 PM	
ADD	durgapurhub.com	Durgapur	Esplanade	Express Line	Private - AC Volvo	6:30 PM	10:50 PM	
ADD	durgapurhub.com	Kolkata	Purulia	WBTC	Government - AC Volvo	9:10 AM	12:10 PM	
ADD	siligurismc.in	Siliguri	Kalyani	NBSTC	Government	5:30 AM		
ADD	siligurismc.in	Siliguri	Balurghat	NBSTC	Government	6:15 AM		
ADD	siligurismc.in	Siliguri	Raghunathganj	NBSTC	Government	7:00 AM		
